Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       22.05.25
Time:       21:12
Revision:   Not in VersionControl
Variant:    Standard
Units used: mm

Designator Comment                                                              Layer       Footprint                             Center-X(mm) Center-Y(mm) Rotation Description                                                                                             "Manufacturer 1"                           "Manufacturer 1 Prt. Nr." "Manufacturer 2"            "Manufacturer 2 Prt. Nr." 
R159       "1.6k 1%"                                                            TopLayer    RES_0402_L                            191.3034     173.1288     315      "Thick Film Resistors - SMD 1.6kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04021K60FKEDC         Yageo                       RC0402FR-7W1K6L           
R158       "1.6k 1%"                                                            TopLayer    RES_0402_L                            190.7377     172.5631     315      "Thick Film Resistors - SMD 1.6kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04021K60FKEDC         Yageo                       RC0402FR-7W1K6L           
R157       "10k 1%"                                                             BottomLayer RES_0402_L                            197.5966     168.8155     315      "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
R156       "10k 1%"                                                             BottomLayer RES_0402_L                            198.1623     169.3812     315      "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
R155       "10k 1%"                                                             TopLayer    RES_0402_L                            205.6575     179.0540     270      "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
R154       "1.6k 1%"                                                            TopLayer    RES_0402_L                            193.0712     174.8966     135      "Thick Film Resistors - SMD 1.6kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04021K60FKEDC         Yageo                       RC0402FR-7W1K6L           
R153       "1.6k 1%"                                                            TopLayer    RES_0402_L                            193.6368     175.4623     135      "Thick Film Resistors - SMD 1.6kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04021K60FKEDC         Yageo                       RC0402FR-7W1K6L           
R152       "4.64k 1%"                                                           BottomLayer RES_0402_L                            192.4348     171.0075     135      "Thick Film Resistors - SMD 4.64kOhm 1%"                                                                "Vishay / Dale"                            CRCW04024K64FKEDC         Yageo                       RC0402FR-134K64L          
R151       "30.1k 1%"                                                           TopLayer    RES_0402_L                            201.0975     179.2540     90       "Thick Film Resistors - SMD 30.1kOhm 1%"                                                                "Vishay / Dale"                            CRCW040230K1FKEDC         Yageo                       RC0402FR-1330K1L          
R147       "0R Jumper"                                                          TopLayer    RES_0402_L                            142.1025     50.1225      0        "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R146       "0R Jumper"                                                          TopLayer    RES_0402_L                            158.0000     57.7500      180      "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R144       "0R Jumper"                                                          TopLayer    RES_0402_L                            157.9975     48.8575      180      "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R143       "0R Jumper"                                                          TopLayer    RES_0402_L                            142.1025     48.8525      0        "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R142       "0R Jumper"                                                          TopLayer    RES_0402_L                            157.9975     56.4775      180      "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R141       "4.7k 1%"                                                            TopLayer    RES_0402_L                            157.9975     49.6575      0        "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R140       "4.7k 1%"                                                            TopLayer    RES_0402_L                            142.1000     58.5500      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R139       "4.7k 1%"                                                            TopLayer    RES_0402_L                            142.1000     50.9000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R130       "0R Jumper"                                                          TopLayer    RES_0402_L                            168.3950     60.4290      270      "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R129       "0R Jumper"                                                          TopLayer    RES_0402_L                            169.3950     60.4290      270      "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R128       "0R Jumper"                                                          TopLayer    RES_0402_L                            167.3950     60.4290      270      "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R127       "0R Jumper"                                                          TopLayer    RES_0402_L                            166.3950     60.4290      270      "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R126       "0R Jumper"                                                          TopLayer    RES_0402_L                            177.3950     60.4290      270      "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R125       "0R Jumper"                                                          TopLayer    RES_0402_L                            170.3950     60.4290      270      "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R124       "0R Jumper"                                                          TopLayer    RES_0402_L                            176.3950     60.4290      270      "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R122       "0R Jumper"                                                          TopLayer    RES_0402_L                            175.3950     60.4290      270      "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R121       "0R Jumper"                                                          TopLayer    RES_0402_L                            172.3950     60.4290      270      "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R120       "0R Jumper"                                                          TopLayer    RES_0402_L                            174.3950     60.4290      270      "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R119       "0R Jumper"                                                          TopLayer    RES_0402_L                            173.3950     60.4290      270      "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R118       "0R Jumper"                                                          TopLayer    RES_0402_L                            142.1025     55.2025      180      "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R117       "49.9R 1%"                                                           BottomLayer RES_0402_L                            128.0028     101.9182     45       "Thick Film Resistors - SMD 49.9Ohm 1%"                                                                 "Vishay / Dale"                            CRCW040249R9FKEDC         Yageo                       RC0402FR-7W49R9L          
R112       "1k 1%"                                                              TopLayer    RES_0402_L                            156.4000     10.7000      180      "Thick Film Resistors - SMD 1kOhm 1%"                                                                   "Vishay / Dale"                            CRCW04021K00FKEDC         Yageo                       RC0402FR-7W1KL            
R111       "1k 1%"                                                              TopLayer    RES_0402_L                            156.4000     13.2000      180      "Thick Film Resistors - SMD 1kOhm 1%"                                                                   "Vishay / Dale"                            CRCW04021K00FKEDC         Yageo                       RC0402FR-7W1KL            
R110       "1k 1%"                                                              TopLayer    RES_0402_L                            156.4000     15.8000      180      "Thick Film Resistors - SMD 1kOhm 1%"                                                                   "Vishay / Dale"                            CRCW04021K00FKEDC         Yageo                       RC0402FR-7W1KL            
R109       "100R 1%"                                                            TopLayer    RES_0402_L                            2.0000       34.4000      270      "Thick Film Resistors - SMD 100Ohm 1%"                                                                  "Vishay / Dale"                            CRCW0402100RFKEE          Yageo                       RC0402FR-7W100RL          
R108       "270R 1%"                                                            TopLayer    RES_0402_L                            2.0000       28.7000      90       "Thick Film Resistors - SMD 270Ohm 1%"                                                                  "Vishay / Dale"                            CRCW0402270RFKEDC         Yageo                       RC0402FR-07270RL          
R107       "360R 1%"                                                            TopLayer    RES_0402_L                            2.0000       32.9000      270      "Thick Film Resistors - SMD 360Ohm 1%"                                                                  "Vishay / Dale"                            CRCW0402360RFKED          Yageo                       AC0402FR-07360RL          
R106       "270R 1%"                                                            TopLayer    RES_0402_L                            2.0000       23.7000      270      "Thick Film Resistors - SMD 270Ohm 1%"                                                                  "Vishay / Dale"                            CRCW0402270RFKEDC         Yageo                       RC0402FR-07270RL          
R105       "4.7k 1%"                                                            TopLayer    RES_0402_L                            148.1500     25.7000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R104       "0R Jumper"                                                          TopLayer    RES_0402_L                            129.3000     101.9000     270      "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R103       "0R Jumper"                                                          TopLayer    RES_0402_L                            138.5500     102.6450     90       "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R102       "10k 1%"                                                             TopLayer    RES_0402_L                            185.3000     36.7000      180      "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
R101       "22R 1%"                                                             TopLayer    RES_0402_L                            162.3000     17.2000      90       "Thick Film Resistors - SMD 22Ohm 1%"                                                                   "Vishay / Dale"                            CRCW040222R0FKEDC         Yageo                       RC0402FR-7W22RL           
R100       "22R 1%"                                                             TopLayer    RES_0402_L                            172.3000     17.2000      90       "Thick Film Resistors - SMD 22Ohm 1%"                                                                   "Vishay / Dale"                            CRCW040222R0FKEDC         Yageo                       RC0402FR-7W22RL           
R99        "22R 1%"                                                             TopLayer    RES_0402_L                            168.3000     17.2050      90       "Thick Film Resistors - SMD 22Ohm 1%"                                                                   "Vishay / Dale"                            CRCW040222R0FKEDC         Yageo                       RC0402FR-7W22RL           
R98        "4.7k 1%"                                                            TopLayer    RES_0402_L                            185.3000     35.3000      0        "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R97        "22R 1%"                                                             TopLayer    RES_0402_L                            164.3000     17.2000      90       "Thick Film Resistors - SMD 22Ohm 1%"                                                                   "Vishay / Dale"                            CRCW040222R0FKEDC         Yageo                       RC0402FR-7W22RL           
R95        "4.7k 1%"                                                            TopLayer    RES_0402_L                            153.3000     25.9500      90       "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R94        "4.7k 1%"                                                            TopLayer    RES_0402_L                            153.3000     24.4500      270      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R93        "10k 1%"                                                             TopLayer    RES_0402_L                            137.5750     119.8000     180      "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
R92        "10k 1%"                                                             TopLayer    RES_0402_L                            136.9500     124.6500     180      "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
R91        "10k 1%"                                                             TopLayer    RES_0402_L                            134.0750     119.8000     180      "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
R90        "1.6k 1%"                                                            TopLayer    RES_0402_L                            100.7000     181.7000     270      "Thick Film Resistors - SMD 1.6kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04021K60FKEDC         Yageo                       RC0402FR-7W1K6L           
R89        "1.6k 1%"                                                            TopLayer    RES_0402_L                            95.8000      180.7450     270      "Thick Film Resistors - SMD 1.6kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04021K60FKEDC         Yageo                       RC0402FR-7W1K6L           
R88        "1.6k 1%"                                                            TopLayer    RES_0402_L                            100.7500     178.1500     270      "Thick Film Resistors - SMD 1.6kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04021K60FKEDC         Yageo                       RC0402FR-7W1K6L           
R87        "1.6k 1%"                                                            TopLayer    RES_0402_L                            95.8000      177.1500     270      "Thick Film Resistors - SMD 1.6kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04021K60FKEDC         Yageo                       RC0402FR-7W1K6L           
R86        "4.7k 1%"                                                            TopLayer    RES_0402_L                            218.6000     48.4500      270      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R85        "5.1k 1%"                                                            TopLayer    RES_0402_L                            223.6000     38.5000      0        "Thick Film Resistors - SMD 5.1kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04025K10FKTD          Yageo                       AC0402FR-075K1L           
R84        "10k 1%"                                                             TopLayer    RES_0402_L                            225.1596     38.8181      90       "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
R83        "5.62k 1%"                                                           TopLayer    RES_0402_L                            226.8596     38.8181      90       "Thick Film Resistors - SMD 5.62kOhm 1%"                                                                "Vishay / Dale"                            CRCW04025K62FKEDC         Yageo                       AC0402FR-7W5K62L          
R82        "1M 1%"                                                              TopLayer    RES_0402_L                            199.8500     52.7500      180      "Thick Film Resistors - SMD 1MOhm 1%"                                                                   "Vishay / Dale"                            CRCW04021M00FKEDC         Yageo                       RC0402FR-071ML            
R81        "18k 1%"                                                             TopLayer    RES_0402_L                            195.3500     38.5500      0        "Thick Film Resistors - SMD 18kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040218K0FKEDC         Yageo                       RC0402FR-0718KL           
R80        "10k 1%"                                                             TopLayer    RES_0402_L                            206.4500     52.3500      270      "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
R79        "15k 1%"                                                             TopLayer    RES_0402_L                            195.3500     40.1500      180      "Thick Film Resistors - SMD 15kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040215K0FKEDC         Yageo                       RC0402FR-1315KL           
R78        "9.53k 1%"                                                           TopLayer    RES_0402_L                            198.6500     53.1000      270      "Thick Film Resistors - SMD 9.53kOhm 1%"                                                                Panasonic                                  ERJ-2RKF9531X             Yageo                       RC0402FR-079K53L          
R77        "75R 1%"                                                             TopLayer    RES_0805                              16.4500      224.7000     180      "Thick Film Resistors - SMD 75Ohm 1%"                                                                   Bourns                                     CR0805-FX-75R0ELF         Panasonic                   ERJ-6ENF75R0V             
R76        "75R 1%"                                                             TopLayer    RES_0805                              16.4500      221.7000     180      "Thick Film Resistors - SMD 75Ohm 1%"                                                                   Bourns                                     CR0805-FX-75R0ELF         Panasonic                   ERJ-6ENF75R0V             
R75        "10k 1%"                                                             TopLayer    RES_0402_L                            205.0000     53.5500      180      "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
R74        "10k 1%"                                                             TopLayer    RES_0402_L                            209.0450     46.2500      180      "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
R73        "90.9k 1%"                                                           TopLayer    RES_0402_L                            207.6000     52.0000      0        "Thick Film Resistors - SMD 90.9k 1%"                                                                   "Vishay / Dale"                            CRCW040290k9FKEDC         Yageo                       RC0402FR-7W90k9L          
R72        "1k 1%"                                                              TopLayer    RES_0402_L                            227.0000     116.8000     90       "Thick Film Resistors - SMD 1kOhm 1%"                                                                   "Vishay / Dale"                            CRCW04021K00FKEDC         Yageo                       RC0402FR-7W1KL            
R71        "1k 1%"                                                              TopLayer    RES_0402_L                            227.0000     120.6000     90       "Thick Film Resistors - SMD 1kOhm 1%"                                                                   "Vishay / Dale"                            CRCW04021K00FKEDC         Yageo                       RC0402FR-7W1KL            
R70        "0R Jumper"                                                          BottomLayer RES_0402_L                            213.8000     126.4000     0        "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R67        "0R Jumper"                                                          TopLayer    RES_0402_L                            177.7000     109.9000     0        "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R65        "47k 1%"                                                             TopLayer    RES_0402_L                            60.1000      130.1250     90       "Thick Film Resistors - SMD 47kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040247K0FKEDC         Yageo                       RC0402FR-7W47KL           
R64        "47k 1%"                                                             TopLayer    RES_0402_L                            59.1000      130.1250     90       "Thick Film Resistors - SMD 47kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040247K0FKEDC         Yageo                       RC0402FR-7W47KL           
R63        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      117.8000     180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R62        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      117.0000     180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R61        "4.7k 1%"                                                            BottomLayer RES_0402_L                            35.7000      121.8000     90       "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R58        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      118.6000     180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R57        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      119.4000     180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R56        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      120.2000     180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R55        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      121.0000     180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R54        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      121.8000     180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R53        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      122.6000     180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R52        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      92.8000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R51        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      92.0000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R50        "4.7k 1%"                                                            BottomLayer RES_0402_L                            35.7000      96.8000      90       "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R47        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      93.6000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R46        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      94.4000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R45        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      95.2000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R44        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      96.0000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R43        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      96.8000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R42        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      97.6000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R41        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      67.8000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R40        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      67.0000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R39        "4.7k 1%"                                                            BottomLayer RES_0402_L                            35.7000      71.8000      90       "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R36        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      68.6000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R35        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      69.4000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R34        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      70.2000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R33        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      71.0000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R32        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      71.8000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R31        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      72.6000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R30        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      42.8000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R29        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      42.0000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R28        "4.7k 1%"                                                            BottomLayer RES_0402_L                            35.7000      46.8000      90       "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R25        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      43.6000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R24        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      44.4000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R23        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      45.2000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R22        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      46.0000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R21        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      46.8000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R20        "4.7k 1%"                                                            BottomLayer RES_0402_L                            28.5000      47.6000      180      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R16        "100R 1%"                                                            BottomLayer RES_0402_L                            107.0000     91.5000      180      "Thick Film Resistors - SMD 100Ohm 1%"                                                                  "Vishay / Dale"                            CRCW0402100RFKEE          Yageo                       RC0402FR-7W100RL          
R15        "4.7k 1%"                                                            BottomLayer RES_0402_L                            122.3000     36.2000      270      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R14        "4.7k 1%"                                                            BottomLayer RES_0402_L                            70.3000      32.1000      270      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
R13        "4.7k 1%"                                                            BottomLayer RES_0402_L                            68.7000      32.1000      270      "Thick Film Resistors - SMD 4.7kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04024K70FKEDC         Yageo                       RC0402FR-134K7L           
